Date,NIFTY50
2018-01-01,11027.7001953125
2018-02-01,10492.849609375
2018-03-01,10113.7001953125
2018-04-01,10739.349609375
2018-05-01,10736.150390625
2018-06-01,10714.2998046875
2018-07-01,11356.5
2018-08-01,11680.5
2018-09-01,10930.4501953125
2018-10-01,10386.599609375
2018-11-01,10876.75
2018-12-01,10862.5498046875
2019-01-01,10830.9501953125
2019-02-01,10792.5
2019-03-01,11623.900390625
2019-04-01,11748.150390625
2019-05-01,11922.7998046875
2019-06-01,11788.849609375
2019-07-01,11118.0
2019-08-01,11023.25
2019-09-01,11474.4501953125
2019-10-01,11877.4501953125
2019-11-01,12056.0498046875
2019-12-01,12168.4501953125
2020-01-01,11962.099609375
2020-02-01,11201.75
2020-03-01,8597.75
2020-04-01,9859.900390625
2020-05-01,9580.2998046875
2020-06-01,10302.099609375
2020-07-01,11073.4501953125
2020-08-01,11387.5
2020-09-01,11247.5498046875
2020-10-01,11642.400390625
2020-11-01,12968.9501953125
2020-12-01,13981.75
2021-01-01,13634.599609375
2021-02-01,14529.150390625
2021-03-01,14690.7001953125
2021-04-01,14631.099609375
2021-05-01,15582.7998046875
2021-06-01,15721.5
2021-07-01,15763.0498046875
2021-08-01,17132.19921875
2021-09-01,17618.150390625
2021-10-01,17671.650390625
2021-11-01,16983.19921875
2021-12-01,17354.05078125
2022-01-01,17339.849609375
2022-02-01,16793.900390625
2022-03-01,17464.75
2022-04-01,17102.55078125
2022-05-01,16584.55078125
2022-06-01,15780.25
2022-07-01,17158.25
2022-08-01,17759.30078125
2022-09-01,17094.349609375
2022-10-01,18012.19921875
2022-11-01,18758.349609375
2022-12-01,18105.30078125
2023-01-01,17662.150390625
2023-02-01,17303.94921875
2023-03-01,17359.75
2023-04-01,18065.0
2023-05-01,18534.400390625
2023-06-01,19189.05078125
2023-07-01,19753.80078125
2023-08-01,19253.80078125
2023-09-01,19638.30078125
2023-10-01,19079.599609375
2023-11-01,20133.150390625
2023-12-01,21731.400390625
2024-01-01,21725.69921875
2024-02-01,21982.80078125
2024-03-01,22326.900390625
2024-04-01,22604.849609375
2024-05-01,22530.69921875
2024-06-01,24010.599609375
2024-07-01,24951.150390625
2024-08-01,25235.900390625
2024-09-01,25810.849609375
2024-10-01,24205.349609375
2024-11-01,24131.099609375
2024-12-01,23644.80078125
2025-01-01,23508.400390625
2025-02-01,22124.69921875
2025-03-01,23519.349609375
2025-04-01,24334.19921875
2025-05-01,24750.69921875
2025-06-01,25517.05078125
2025-07-01,24768.349609375
2025-08-01,24426.849609375
2025-09-01,24611.099609375
2025-10-01,25722.099609375
2025-11-01,26202.94921875
2025-12-01,26129.599609375
2026-01-01,25320.650390625
