Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
R1,0.0,0.0,0.0,0.0,0.13838273436981782,0.0,0.0,0.0,0.12103127246142102,0.07420884082976852,0.11474950281166958,0.0,0.0,0.0,0.0,0.0,0.0,0.5516276495273231
R2,0.0,0.0,0.0,0.0,0.2694868214428233,0.0,0.0,0.0,0.21816568325472308,0.20944946865189062,0.0,0.0,0.0,0.0,0.0278334968272289,0.0,0.0,0.27506452982333407
R3,0.3043084718929305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19944974792725143,0.31349854276228317,0.0,0.0,0.0,0.0,0.0,0.14042485034924804,0.04231838706828683
R4,0.0,0.0,0.0,0.0,0.17980344254378133,0.0,0.0,0.0,0.21684187495495771,0.18802811660970026,0.0,0.0,0.0,0.0,0.04968239274625682,0.0,0.0,0.36564417314530384
R5,0.0,0.0,0.0,0.0,0.1240031852915306,0.0,0.0,0.0,0.10687297575797627,0.06170215197056826,0.14964765606055597,0.0,0.0,0.0,0.0,0.0,0.0,0.557774030919369
R6,0.0,0.0,0.0,0.0,0.1391149617934689,0.0,0.0,0.0,0.1150612491318707,0.13486802507146647,0.05983175031254454,0.0,0.0,0.0,0.0,0.0,0.0,0.5511240136906493
R7,0.0,0.0,0.0,0.0,0.10025396355533421,0.0,0.0,0.0,0.31714697102476275,0.22308729591127835,0.0,0.0,0.0,0.0,0.03833147539255011,0.0,0.0,0.3211802941160745
R8,0.0,0.0,0.0,0.0,0.15399817074050642,0.0,0.0,0.0,0.2722769368121836,0.11704288950099241,0.0,0.0,0.0,0.0,0.010600831272101499,0.0,0.0,0.4460811716742161
R9,0.2825893247187165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09897445043909377,0.18311676831179236,0.2933712037893185,0.0,0.0,0.0,0.0,0.0,0.14194825274107897,0.0
R10,0.0,0.0,0.0,0.0,0.3102461292607362,0.1093996224540127,0.0,0.0,0.0,0.2768088963622518,0.0,0.0,0.10899330383792631,0.194552048085073,0.0,0.0,0.0,0.0
R11,0.0,0.0,0.0,0.0,0.27875729444938513,0.12431187786222311,0.0,0.0,0.0,0.27607678297783045,0.0,0.0,0.11095665183036865,0.20989739288019277,0.0,0.0,0.0,0.0
R12,0.0,0.0,0.0,0.0,0.17279013734255072,0.0,0.0,0.0,0.2448138772044799,0.19523852800825098,0.0,0.0,0.0,0.0,0.052483113351781234,0.0,0.0,0.33467434409293717
R13,0.0,0.0,0.0,0.0,0.13302160425304024,0.0,0.0,0.0,0.13414032188355185,0.12593992480588173,0.0,0.0,0.0,0.0,0.11441988524915249,0.0,0.0,0.4924782638083737
R14,0.3303235497180803,0.0,0.0,0.0,0.2122526107344607,0.0,0.0,0.0,0.0,0.20176056962479394,0.09559155132811087,0.0,0.0,0.0,0.0,0.0,0.16007171859455402,0.0
R15,0.0,0.0,0.0,0.0,0.1697278836884415,0.0,0.0,0.0,0.19463776168713093,0.029632579813851433,0.0,0.0,0.0,0.0,0.16175356147898423,0.0,0.0,0.44424821333159203
R16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229632417837474,0.30309075149879594,0.18478354322991286,0.0,0.0,0.0,0.14065872650142724,0.0,0.0,0.14183456093238986
R17,0.0,0.0,0.0,0.0,0.13314270200862136,0.0,0.0,0.0,0.12282263327736334,0.0,0.03712113110484397,0.0,0.0,0.0,0.162241947094185,0.0,0.0,0.5446715865149864
R18,0.0,0.0,0.0,0.0,0.14132819928215484,0.0,0.0,0.0,0.22856176809287498,0.1408798480246755,0.035307081147067376,0.0,0.0,0.0,0.0,0.0,0.0,0.4539231034532273
R19,0.0,0.0,0.0,0.0,0.18015690861661326,0.0,0.0,0.0,0.12955379846540813,0.14196994232423804,0.0,0.0,0.0,0.0,0.09397417166924592,0.0,0.0,0.4543451789244948
R20,0.0,0.0,0.0,0.0,0.18342735906886135,0.0,0.0,0.0,0.19358721480501587,0.18321527100602578,0.0,0.0,0.0,0.0,0.07521256475379474,0.0,0.0,0.36455759036630225
R21,0.0,0.0,0.0,0.0,0.12578379521656893,0.0,0.0,0.0,0.18697327933291355,0.1259399792083592,0.0,0.0,0.0,0.0,0.12849778640700527,0.0,0.0,0.4328051598351531
R22,0.0,0.0,0.0,0.0,0.23468495175926915,0.14304692607517744,0.0,0.0,0.0,0.28899108302614557,0.0,0.0,0.11544655160671004,0.2178304875326979,0.0,0.0,0.0,0.0
R23,0.0,0.0,0.0,0.0,0.3144097331813702,0.0,0.0,0.0,0.08003971960151492,0.19771844781227788,0.0,0.0,0.0,0.0,0.06418395899492685,0.0,0.0,0.34364814040991015
R24,0.0,0.0,0.0,0.0,0.015492688852261753,0.0,0.0,0.0,0.3066243247973985,0.20036593356657978,0.0,0.0,0.0,0.0,0.13222056052539288,0.0,0.0,0.34529649225836717
R25,0.0,0.0,0.0,0.0,0.33629358411523036,0.10486894386070211,0.0,0.0,0.0,0.3077763452676539,0.0,0.0,0.0902146312102837,0.1608464955461299,0.0,0.0,0.0,0.0
