Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,,0.6,0.2,1,,-0.1646172466569999,0.02600615330552416,0.16653296155705646,0.44583387647233796,0.04521321429769544,0.03929402893047351,-6.459470628772405e-05,6.405701395204193e-05
R2,,0.6,0.2,1,,-0.19232527743922573,0.025751343185856992,0.17074329781470057,0.4016801102580389,0.04622495666992571,0.04178295156609542,-0.00011609188136696462,8.705284490067616e-05
R3,,0.6,0.2,1,,-0.12768300480429332,0.009303342534219163,0.12858525317651032,0.42630795713821795,0.030646398375659564,0.03156540883830061,3.7351982174923845e-06,2.1466989834406555e-05
R4,,0.6,0.2,1,,-0.2596879859578586,0.018917630165050024,0.21502898400963263,0.3364326059626402,0.05722084871858908,0.05487847792600532,-0.00013254738978079375,0.0002157306091006646
R5,,0.6,0.2,1,,-0.35172856594578145,0.024265342197228527,0.28913880356998123,0.32678250330417974,0.07778022895862781,0.07398767574539697,-0.00029931136854142,0.0006977833407079267
R6,,0.6,0.2,1,,-0.15957325638616202,0.025477297448810964,0.15854387771715556,0.458190377520397,0.04203144493551815,0.03759169966684643,-6.936330633974924e-05,5.6037616757512363e-05
R7,,0.6,0.2,1,,-0.20250014166723812,0.018537932781913763,0.1934579159641217,0.36642050232055234,0.05290769697641626,0.04746836997584858,-2.5778609626858024e-05,0.00011137488075831214
R8,,0.6,0.2,1,,-0.2845964099068787,0.033962063757477075,0.2398763497206678,0.39230521652067596,0.06302973297876724,0.05982806638348103,-0.0003735032649446775,0.00037312901788385156
R9,,0.6,0.2,1,,-0.20607490154582594,0.012143695139226637,0.1953865644326776,0.37803976119710214,0.04869835994307367,0.048929722360015526,6.964368497281632e-06,0.000119825133730868
R10,,0.6,0.2,1,,-0.19900798376430606,0.019440690963124802,0.18826910144932058,0.37631207809555406,0.05091012915266688,0.04617393442962684,-4.2092914557716494e-05,0.00010431122080937935
R11,,0.6,0.2,1,,-0.33887690167857165,0.01851743914774238,0.2766430548111337,0.3158910912194225,0.07369978984271501,0.07147066697194282,-0.00019236608482125486,0.0005757659102551254
R12,,0.6,0.2,2,,-0.122533466969632,0.00888572074709229,0.09974565214196227,0.42560252807649507,0.021135836812752953,0.02592267320922507,-2.5020502431448918e-05,1.273658099372582e-05
R13,,0.6,0.2,2,,-0.1266157554439086,0.012899127652751802,0.09342804281832894,0.45673714667858933,0.018667939678700576,0.024803577929173065,-4.7033389382495995e-05,1.3612291453257102e-05
R14,,0.6,0.2,2,,-0.33259390066709793,0.03307541418106324,0.250461351973261,0.3328133266850278,0.06897178268787332,0.06411601374973895,-0.0005074673754371477,0.0004903894926832372
R15,,0.6,0.2,2,,-0.3416217168203183,0.025461514433285863,0.27409164687329995,0.3322945093538063,0.07299244296650342,0.07033336051262562,-0.0003551268008877812,0.0006045010647050555
R16,,0.6,0.2,2,,-0.123026697760834,0.011685722002491478,0.11264462600252165,0.4290553556062904,0.02678654320741315,0.02802285166021676,-1.9158289551341253e-05,1.590624304997874e-05
R17,,0.6,0.2,2,,-0.19709297124460617,0.023205581360041777,0.1836810498688599,0.3935963680353951,0.049671909779139926,0.04478772114537095,-8.043584414163711e-05,0.00010187196084671648
R18,,0.6,0.2,2,,-0.26003291582951454,0.019583633606996657,0.21369951343015126,0.33760455376608145,0.05685775141119934,0.054555936533979166,-0.00014558074119448483,0.00021475767029977902
R19,,0.6,0.2,2,,-0.2005296842248226,0.01849222402256242,0.19051743273902633,0.36901638151973465,0.05180173656478025,0.04679466043890857,-3.0429104894635746e-05,0.00010660606495471591
R20,,0.6,0.2,2,,-0.30544992623107264,0.013578725743148888,0.25151703878118237,0.31827271784541,0.06531316394292198,0.06532285464360923,-9.955281888277077e-05,0.00038886527399130367
R21,,0.6,0.2,2,,-0.3383979989950565,0.027549412568503275,0.2717625715892226,0.3362580327123375,0.072885118459922,0.06945068807810101,-0.00038326177284699623,0.0005899817055022316
R22,,0.6,0.2,2,,-0.1236505818735352,0.008630810880855107,0.10846134817809834,0.42872240828223673,0.023720705101977574,0.02764400869712084,-1.7332794063831937e-05,1.4935165439810511e-05
R23,,0.6,0.2,2,,-0.2986135207994233,0.014976687678441698,0.24709993248277667,0.3336812068756629,0.06277075005175045,0.06398856836114197,-0.00012604004900695765,0.00037341324576835826
R24,,0.6,0.2,2,,-0.328559388189767,0.0301248830965953,0.2640018761882536,0.3487653965044096,0.07045077345473338,0.06716817761672961,-0.00042047416699734293,0.000544285180361553
R25,,0.6,0.2,2,,-0.34070777112633216,0.029485421340664408,0.25678223162393476,0.3228878307075958,0.07021674070250318,0.0661586727050694,-0.0004663762528184062,0.0005230877210895945
R26,,0.6,0.2,2,,-0.19492293360644986,0.02172782632316678,0.18017495570307993,0.39335523298388164,0.048004836484763835,0.044163580735095014,-7.469274743128709e-05,9.582322573697396e-05
R27,,0.6,0.2,2,,-0.12173657475485843,0.010114039679348586,0.10201571206477682,0.4421297439115285,0.021765763157397974,0.02620465414834588,-2.6307815921239146e-05,1.3455922370725761e-05
R28,,0.6,0.2,2,,-0.19957381968352333,0.021116232444417023,0.18729300013612996,0.37918899165752135,0.05102276804449166,0.04582186521121006,-5.8212623542099096e-05,0.00010482427494542115
R29,,0.6,0.2,2,,-0.1997686398673505,0.01942399130560575,0.1877191860020663,0.3748429239179285,0.05074843805799244,0.04611235898615,-4.526809347193965e-05,0.00010429239658832535
R30,,0.6,0.2,2,,-0.26029219059052905,0.01917706189922587,0.2149741621895173,0.3359717381138965,0.05731534240124552,0.05486306935505485,-0.00013684271270698474,0.00021650307918058006
R31,,0.6,0.2,2,,-0.12327378578844231,0.009421471970867075,0.09943300822130927,0.42512206558605803,0.02120988469343369,0.025854513408155574,-2.7251311575045e-05,1.2878747880287343e-05
R32,,0.6,0.2,3,,-0.1229533248584416,0.011072590992714026,0.09737069957634542,0.4411723388362093,0.02049879946575909,0.025343115371838174,-3.376220065661931e-05,1.2886665405570753e-05
R33,,0.6,0.2,3,,-0.28284834280333326,0.021776223263504417,0.23508603842409811,0.3385066118944385,0.06293865922843983,0.05980416136296573,-0.00018123408189548064,0.0003074642762924618
R34,,0.6,0.2,3,,-0.2589098241879778,0.019230715115008484,0.21252717824029876,0.3357133121081497,0.05663431832033739,0.05429103598122884,-0.0001405178610394035,0.00020953274252451682
R35,,0.6,0.2,3,,-0.19370441531682447,0.021260225965259876,0.18012028091338814,0.3952236892383978,0.04774377012195133,0.04414015795190975,-6.934211213316805e-05,9.473222131319677e-05
R36,,0.6,0.2,3,,-0.14476167129545392,0.012629809215713458,0.08325076846204817,0.44759531861344987,0.012689656528587515,0.024362589489892776,-7.726516260158922e-05,1.651890824678003e-05
R37,,0.6,0.2,3,,-0.2589701053736485,0.020122468987169753,0.21170689373163992,0.33931569883183343,0.05629166080690165,0.05404408387575655,-0.0001546124141615337,0.00021036742131130563
R38,,0.6,0.2,3,,-0.1955241314271431,0.023141805217537947,0.17966017926425645,0.39647173752872317,0.04814177776636297,0.043950064307985155,-8.749103653056363e-05,9.68751092019636e-05
R39,,0.6,0.2,3,,-0.16029782351202193,0.023938158289780815,0.16442544398177697,0.47335681083384,0.0420186152821712,0.038917606874837536,-5.525743795744328e-05,6.124755690292211e-05
R40,,0.6,0.2,3,,-0.12584210595612944,0.013111246724631714,0.09461794963937124,0.45463703389598076,0.01941294342795075,0.024921496002059795,-4.5352573548052925e-05,1.3597338876768019e-05
R41,,0.6,0.2,3,,-0.3472764871928362,0.021392444355070532,0.2808885303742151,0.3159213412621302,0.07573676502156043,0.07237253838319611,-0.00025701698713444287,0.0006243402831255863
R42,,0.6,0.2,4,,-0.13146846492245434,0.008778531191917766,0.13781790232104096,0.4346031446257743,0.03250899137129351,0.033600560893859155,1.6076531353254646e-05,2.6205851134201103e-05
R43,,0.6,0.2,4,,-0.12685618857202116,0.013620703120733036,0.09306315219162951,0.4576590771447531,0.018818051628419274,0.024690711850925962,-4.9172111035269456e-05,1.3686144799468904e-05
R44,,0.6,0.2,4,,-0.12236410832364752,0.008908120605449737,0.09902122614866897,0.4269475785771418,0.020845050097101442,0.02578029989550084,-2.5650099724487094e-05,1.258573203076954e-05
R45,,0.6,0.2,4,,-0.2853408424725356,0.019638469791762453,0.2378682248295657,0.34104715558500237,0.06222363452743848,0.06081449223535605,-0.00016342006406577987,0.00032200401941476133
R46,,0.6,0.2,4,,-0.30146493888760384,0.014534110375132612,0.24680197651552488,0.32546893586054515,0.06335456491105165,0.0640853532138608,-0.00012592155574335582,0.00037229529181399346
R47,,0.6,0.2,4,,-0.29818899893944056,0.033178589342368905,0.2534191825108701,0.38053423654135643,0.06727549127179529,0.06323732369659196,-0.0003699702397932061,0.0004421345577120898
R48,,0.6,0.2,4,,-0.31197412318239853,0.012769321814432893,0.2571635396327815,0.30890671076629445,0.06780715881089537,0.06685147566748331,-7.75496847157413e-05,0.00041322299558755807
R49,,0.6,0.2,4,,-0.11990855619596805,0.012949160492122226,0.1158158685819716,0.44976335344400575,0.02781785468241353,0.0282911704261619,-1.6573038812221268e-05,1.6348199588021413e-05
R50,,0.6,0.2,4,,-0.12417168499955564,0.009988788903943542,0.12064197155552157,0.450194866231743,0.027315710691906275,0.029802388721953166,-8.012200241642245e-06,1.8736770182584014e-05
