Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2140826926582648,0.1406580247862156,0.12309940242011161,0.0,0.0,0.0,0.22465909648784566,0.0,0.0,0.2975007836475622
R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20937247816156768,0.1298589484822119,0.1465040100685767,0.0,0.0,0.0,0.22366896157257296,0.0,0.0,0.2905956017150708
R3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2521718054318473,0.14029859728797137,0.13437306897439336,0.0,0.0,0.0,0.19832474549412268,0.0,0.0,0.2748317828116652
R4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18101099444767957,0.1328362038385981,0.1446020915733833,0.0,0.0,0.0,0.24400559787906415,0.0,0.0,0.29754511226127495
R5,0.20620821774490125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2949007468800394,0.08295239991336041,0.0,0.0,0.0,0.0,0.2942023956256008,0.0,0.121736239836098,0.0
R6,0.08013548214093899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24148053745313863,0.17134406268379582,0.0,0.0,0.0,0.0,0.29996481060750907,0.0,0.0,0.20707510711461746
R7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26547754667601364,0.17128922576026245,0.08815989026455948,0.0,0.0,0.0,0.18525284669412084,0.0,0.0,0.2898204906050436
R8,0.0,0.10225616588199028,0.0,0.0,0.0,0.0,0.0,0.0,0.25869307727936997,0.0,0.13496072266366563,0.0,0.0,0.0,0.20425502581780614,0.0,0.0,0.299835008357168
R9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28532312877281013,0.14865244520678875,0.11077996702112457,0.0,0.0,0.0,0.17579373041494714,0.0,0.0,0.2794507285843295
R10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16450284937916582,0.1449926170365331,0.14867784128269637,0.0,0.0,0.0,0.2428698495435324,0.0,0.0,0.29895684275807227
R11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16011870288735214,0.15082605252858516,0.14228469231543256,0.0,0.0,0.0,0.2469752355284518,0.0,0.0,0.29979531674017845
R12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1593826278873019,0.15063401100556234,0.1449027935348472,0.0,0.0,0.0,0.2480080108958761,0.0,0.0,0.29707255667641247
R13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15973470082762367,0.15185918825893469,0.1405938869128747,0.0,0.0,0.0,0.24785746620307172,0.0,0.0,0.2999547577974953
R14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15973068851067135,0.1518555722443734,0.14059083777771592,0.0,0.0,0.0,0.24784901947473095,0.0,0.0,0.2999738819925083
R15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15932192938972628,0.15387321253911254,0.15226945437929257,0.0,0.0,0.0,0.23723732313077234,0.0,0.0,0.29729808056109625
R16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15245449888010068,0.15896321939376873,0.14300750676410873,0.0,0.0,0.0,0.2555031180133998,0.0,0.0,0.290071656948622
R17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18248458449829655,0.1571936814469955,0.11996990734720414,0.0,0.0,0.0,0.24270200653893761,0.0,0.0,0.2976498201685662
R18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15694973310422597,0.1565136832597709,0.1475096350423445,0.0,0.0,0.0,0.25240406028871076,0.0,0.0,0.28662288830494786
R19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28293528007299257,0.1830990798796005,0.0840780695479087,0.0,0.0,0.0,0.18107113853190843,0.0,0.0,0.2688164319675898
R20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15382022764904552,0.15752301044502365,0.14988928286408337,0.0,0.0,0.0,0.25472964223536726,0.0,0.0,0.28403783680648015
R21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15456396016059343,0.16268999616878907,0.1471131894576922,0.0,0.0,0.0,0.2520871322046809,0.0,0.0,0.28354572200824446
R22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153942809949936,0.1755892571855772,0.13210085812648292,0.0,0.0,0.0,0.2453420065435053,0.0,0.0,0.29302506819449853
R23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14923191528295332,0.16447103567937968,0.1289162731232423,0.0,0.0,0.0,0.2575658390018566,0.0,0.0,0.29981493691256805
R24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1552630220754466,0.1587576932646109,0.15386298622393751,0.0,0.0,0.0,0.2535180078987165,0.0,0.0,0.27859829053728846
R25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15476132868320358,0.15599679779707798,0.1637005090345369,0.0,0.0,0.0,0.2551461293885259,0.0,0.0,0.27039523509665564
