Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,,0.6,0.2,1,,-0.13397011266706263,0.007509521201441814,0.13629094509969547,0.4141893544875875,0.0323230532261356,0.27011578308696194,1.5666746479970524e-05,2.5883029410383047e-05
R2,,0.6,0.2,1,,-0.13403873945849631,0.007456708265492207,0.1361922680132817,0.4133587823350103,0.03230785528090152,0.27008760145099275,1.5633857802983756e-05,2.584163560545621e-05
R3,,0.6,0.2,1,,-0.1428548107911534,0.010230517352130984,0.13948275352980835,0.4038227680270406,0.03424811300535576,0.2822134040333344,1.6190566425887137e-07,3.0676053680613044e-05
R4,,0.6,0.2,3,,-0.13441120031787557,0.007221211623018422,0.13578687635724337,0.4091553390375361,0.032277358823963556,0.2700638017757527,1.5510189575689377e-05,2.5675894124206665e-05
R5,,0.6,0.2,4,,-0.14215267701276865,0.00607864570197441,0.13952419989977738,0.3826604456667534,0.03382345116974389,0.28158690245407375,1.8384418686532637e-05,2.9093307846370148e-05
R6,,0.6,0.2,4,,-0.14169435730993793,0.006425650106831996,0.13936365399374842,0.3846294096696401,0.033857789112194614,0.2809652316182317,1.731013128195545e-05,2.8942778035413583e-05
R7,,0.6,0.2,4,,-0.12618306888822486,0.008752756064685308,0.12897791347036394,0.4198868682085602,0.03113741849108842,0.2550133165275977,8.634187796016014e-06,2.0811713077951956e-05
R8,,0.6,0.2,4,,-0.14254111106817796,0.009504717963118945,0.14014095700118206,0.4029231185413286,0.03422932992749425,0.2825583625909466,4.607800364848144e-06,3.070023511494802e-05
R9,,0.6,0.2,4,,-0.12879513993192881,0.0085484347910121,0.12555622994950857,0.40120015501256323,0.030638616364364116,0.2542435858951375,1.993208247347624e-06,2.0089006453311047e-05
R10,,0.6,0.2,5,,-0.14364201193833884,0.01295487551958716,0.15437309193119225,0.4294394795315104,0.03889837702051372,0.2978157499772131,1.661805666686317e-05,3.916966976941639e-05
R11,,0.6,0.2,5,,-0.12736248208723172,0.008075504823336611,0.13045442463477225,0.4172752368899213,0.03131164132846832,0.2576723043952977,1.1896531599126345e-05,2.1557855657940935e-05
R12,,0.6,0.2,5,,-0.14231968437392561,0.014145789267535226,0.15075548603693933,0.44492064242673013,0.03732871563459346,0.29283730666190366,3.795587012672204e-06,3.7694276455982634e-05
R13,,0.6,0.2,5,,-0.14390939410464143,0.012688355761642083,0.1530417143745536,0.43156127999005783,0.03810530236890177,0.2967472694646469,1.3845469498014766e-05,3.8783996199540304e-05
R14,,0.6,0.2,6,,-0.1314935786930718,0.008800894523185745,0.1378733810980598,0.4351449843962435,0.032500259728758946,0.2691699502532039,1.6022949666562924e-05,2.6256684020330012e-05
R15,,0.6,0.2,7,,-0.14264674557949836,0.005949838171562105,0.13979565692907275,0.38210311963153337,0.03383003012141743,0.28235304102428305,1.8726562156047634e-05,2.938169746422021e-05
R16,,0.6,0.2,7,,-0.13936797110830018,0.00892946847167741,0.13621559142639608,0.40835933184063417,0.03261926059559287,0.27545225598445117,3.3752447931866654e-06,2.7984555310666145e-05
R17,,0.6,0.2,7,,-0.12727469401127853,0.008285084304622534,0.12926587000034437,0.4130132730518239,0.03128302749411591,0.25640650238767704,9.689237201528494e-06,2.1041151264359207e-05
R18,,0.6,0.2,8,,-0.13118376232226153,0.008665641858460242,0.13368647304055237,0.4259991075899252,0.03161274941827154,0.26470241329821653,9.793761493509961e-06,2.436759462021764e-05
R19,,0.6,0.2,8,,-0.13116991451928983,0.008603060565934493,0.13325102048823478,0.42166527880923016,0.03171347565183712,0.26426378791442245,9.632444137744162e-06,2.406070492261161e-05
R20,,0.6,0.2,8,,-0.1259209519797598,0.008110004240434177,0.12856507928074468,0.42593964121822625,0.030329029437605105,0.2543244758400537,9.704006180285827e-06,2.0743514567863906e-05
R21,,0.6,0.2,9,,-0.13337272139831627,0.007868431982197513,0.13691513515498463,0.4202219026834755,0.03240476564608965,0.2701285717662944,1.5959475953468106e-05,2.6105747149692255e-05
R22,,0.6,0.2,9,,-0.13337889980302042,0.007871241357909422,0.1365159695410826,0.41917436667299757,0.032334863077046715,0.26973851538189036,1.5262417923780845e-05,2.592874166061584e-05
R23,,0.6,0.2,10,,-0.1431696657974821,0.006158751836670472,0.14032356962632897,0.3814473225528948,0.034101870420221975,0.2834046943226704,1.8383995321550022e-05,2.9794589405389197e-05
R24,,0.6,0.2,10,,-0.126651306917348,0.009038937214935264,0.12627638535451063,0.4239775600958625,0.030004095366563177,0.2527748333864941,2.3624979926532426e-06,2.0327542384762443e-05
R25,,0.6,0.2,10,,-0.14154095410889764,0.007792221927202369,0.13972465027326383,0.3915018176275745,0.03419111611660723,0.281162010286559,1.274498531832046e-05,2.9414257704434367e-05
R26,,0.6,0.3,1,,-0.13207639216679204,0.008666110469509495,0.13810322283803964,0.4338079612493009,0.0325123632756278,0.269985661390443,1.6204482663926916e-05,2.652924210799147e-05
R27,,0.6,0.3,1,,-0.12724546082293098,0.008624976781579419,0.12970114172271338,0.41616419662710713,0.031408970891787596,0.25680589673312326,9.171059232305258e-06,2.1281062145417534e-05
R28,,0.6,0.3,2,,-0.1427511654686197,0.005988925944786859,0.13985320363260564,0.38202444552540166,0.033861778334501894,0.28251511943667296,1.8564836181621615e-05,2.94473181407108e-05
R29,,0.6,0.3,2,,-0.13364779908919033,0.00740099457570403,0.13424885400231004,0.40796985631000265,0.03201238914208764,0.26776658931091707,1.3194284111061604e-05,2.480072073271808e-05
R30,,0.6,0.3,3,,-0.1312868956337922,0.008870393784283837,0.13767836640367562,0.4354492715731327,0.03247853667683913,0.2687678317802926,1.5675746993738555e-05,2.611644878306619e-05
