Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
G1,0.0,0.0,0.0,0.0,0.09557369647563924,0.0,0.0,0.0,0.29987575486082546,0.2783510517094738,0.08278894303104996,0.0,0.0,0.0,0.0,0.0,0.0,0.24341055392301159
G2,0.29965379355062643,0.0,0.0,0.13483082608054656,0.0,0.29928129137864407,0.0,0.0,0.0,0.12298577493044516,0.0,0.0,0.0,0.0,0.0,0.0,0.1432483140597377,0.0
G3,0.11990726962261478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23987103596026887,0.0,0.0,0.0,0.12685605832440716,0.0,0.25354587207524826,0.0,0.0,0.259819764017461
G4,0.0,0.0,0.0,0.0,0.13640436495955632,0.0,0.0,0.0,0.26916016322219405,0.23438857709459288,0.08130792976655413,0.0,0.0,0.0,0.0,0.0,0.0,0.27873896495710265
G5,0.11989774012748515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24386701396858843,0.0,0.0,0.0,0.12955541826259412,0.0,0.24593887454748084,0.0,0.0,0.26074095309385154
G6,0.21992208985346406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2856369553689114,0.0,0.0,0.0,0.0,0.0,0.2782544231310998,0.0,0.10223619739751187,0.1139503342490129
G7,0.29749234100275174,0.0,0.0,0.0,0.0,0.2979700723516611,0.0,0.0,0.16341281935166915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14685361657431636,0.09427115071960157
G8,0.2997905137516236,0.0,0.0,0.12487408323114456,0.0,0.28217872425382023,0.0,0.0,0.0,0.15261665705333136,0.0,0.0,0.0,0.0,0.0,0.0,0.14054002171008023,0.0
G9,0.2986097914328089,0.0,0.0,0.0,0.0,0.2858558847999783,0.0,0.0,0.1746587219479712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14654991079735963,0.09432569102188187
G10,0.2971854481658244,0.0,0.0,0.13938699172671737,0.0,0.29003695851134714,0.0,0.0,0.0,0.12512115665326798,0.0,0.0,0.0,0.0,0.0,0.0,0.1482694449428431,0.0
G11,0.2980617738723296,0.09144182000126015,0.0,0.22165830044140222,0.0,0.0,0.0,0.0,0.1637021363789366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22513596930607144,0.0
G12,0.22689552588969591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294152388803723,0.0,0.0,0.0,0.0,0.0,0.28118390638842083,0.0,0.10717057926037729,0.090597599657783
G13,0.20738758648509564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29787597832916335,0.0,0.0,0.0,0.0,0.0,0.2584282535820044,0.0,0.09685441982218146,0.1394537617815551
