Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
R1,0.0,0.09509484825618233,0.0,0.0,0.0,0.0,0.0,0.0,0.2567239409512107,0.0,0.13713370933872088,0.0,0.0,0.0,0.21323744248225446,0.0,0.0,0.29781005897163165
R2,0.0,0.09193411812755015,0.0,0.0,0.0,0.0,0.0,0.0,0.262234429226778,0.0,0.13619844291523817,0.0,0.0,0.0,0.21039870429046664,0.0,0.0,0.29923430543996704
R3,0.0,0.0968849167377863,0.0,0.0,0.0,0.0,0.0,0.0,0.2592087393357675,0.0,0.13375474427524187,0.0,0.0,0.0,0.21017693750991548,0.0,0.0,0.29997466214128893
R4,0.0,0.09231701206643549,0.0,0.0,0.0,0.0,0.0,0.0,0.264476094009543,0.0,0.1330243819592709,0.0,0.0,0.0,0.2101825134197049,0.0,0.0,0.2999999985450458
R5,0.0,0.08911258086432998,0.0,0.0,0.0,0.0,0.0,0.0,0.20725551879430448,0.0,0.13822906827108808,0.0,0.0,0.0,0.2668729042975854,0.0,0.0,0.2985299277726921
R6,0.0,0.09602738079880578,0.0,0.0,0.0,0.0,0.0,0.0,0.261539285420363,0.0,0.13423119823244425,0.0,0.0,0.0,0.20860508035806175,0.0,0.0,0.29959705519032537
R7,0.0,0.09434404887115874,0.0,0.0,0.0,0.0,0.0,0.0,0.2558444959961469,0.0,0.14013801260681358,0.0,0.0,0.0,0.20970855751049858,0.0,0.0,0.2999648850153822
R8,0.0,0.09883430508040825,0.0,0.0,0.0,0.0,0.0,0.0,0.26119267275614605,0.0,0.1330450908837394,0.0,0.0,0.0,0.2076134319778155,0.0,0.0,0.2993144993018908
R9,0.08000023501439638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21903085337792094,0.13920344233441978,0.0,0.0,0.0,0.0,0.28950464256984054,0.0,0.0,0.27226082670342233
R10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22031007202489047,0.14567983847412186,0.1291401071098176,0.0,0.0,0.0,0.21240888894503523,0.0,0.0,0.2924610934461349
R11,0.0,0.10161387482956678,0.0,0.0,0.0,0.0,0.0,0.0,0.260024769729392,0.0,0.13693218461441656,0.0,0.0,0.0,0.20142917362535212,0.0,0.0,0.29999999720127263
R12,0.0,0.08443720868755017,0.0,0.0,0.0,0.0,0.0,0.0,0.2756301455010982,0.0,0.13582181432127646,0.0,0.0,0.0,0.21235859443773314,0.0,0.0,0.29175223705234193
R13,0.0,0.08109218518761743,0.0,0.0,0.0,0.0,0.0,0.0,0.27115763403814824,0.0,0.13261975476542848,0.0,0.0,0.0,0.21513044480386254,0.0,0.0,0.2999999812049433
R14,0.0,0.08065608310583251,0.0,0.0,0.0,0.0,0.0,0.0,0.27146198707785474,0.0,0.13267065816754253,0.0,0.0,0.0,0.2152131050558417,0.0,0.0,0.29999816659292855
R15,0.0,0.10771945911226966,0.0,0.0,0.0,0.0,0.0,0.0,0.2585428446547108,0.0,0.13221189516778184,0.0,0.0,0.0,0.20183246532037336,0.0,0.0,0.2996933357448643
R16,0.0,0.08632502224707064,0.0,0.0,0.0,0.0,0.0,0.0,0.24019335277561377,0.0,0.15593054210947577,0.0,0.0,0.0,0.21958930821403383,0.0,0.0,0.2979617746538059
R17,0.0,0.09293566712566778,0.0,0.0,0.0,0.0,0.0,0.0,0.25766713324481655,0.0,0.14312406052594961,0.0,0.0,0.0,0.20686361988172497,0.0,0.0,0.2994095192218411
R18,0.0,0.09235592245748134,0.0,0.0,0.0,0.0,0.0,0.0,0.25516112968754556,0.0,0.14464235966139946,0.0,0.0,0.0,0.20792701096046426,0.0,0.0,0.2999135772331093
R19,0.0,0.08576838417708663,0.0,0.0,0.0,0.0,0.0,0.0,0.26170536123757987,0.0,0.14553962411472104,0.0,0.0,0.0,0.2097015652072079,0.0,0.0,0.29728506526340454
R20,0.0,0.08629620542967897,0.0,0.0,0.0,0.0,0.0,0.0,0.2534808352345255,0.0,0.14255657491357027,0.0,0.0,0.0,0.22779465245987407,0.0,0.0,0.2898717319623512
R21,0.0,0.10593794627783049,0.0,0.0,0.0,0.0,0.0,0.0,0.25480004502784526,0.0,0.1363566491891778,0.0,0.0,0.0,0.20294130509696748,0.0,0.0,0.299964054408179
R22,0.0,0.08116865689303385,0.0,0.0,0.0,0.0,0.0,0.0,0.2733033233096007,0.0,0.11430863844940503,0.0,0.0,0.0,0.23810435871391056,0.0,0.0,0.2931150226340498
R23,0.0,0.0809656635255654,0.0,0.0,0.0,0.0,0.0,0.0,0.27091799654758697,0.0,0.1341406342648772,0.0,0.0,0.0,0.2266113980508192,0.0,0.0,0.28736430761115117
R24,0.0,0.08212623193210625,0.0,0.0,0.0,0.0,0.0,0.0,0.22508208875789792,0.0,0.1588047295198063,0.0,0.0,0.0,0.23678081575923882,0.0,0.0,0.29720613403095075
R25,0.0,0.09447298969986354,0.0,0.0,0.0,0.0,0.0,0.0,0.26845392865258005,0.0,0.13187099805098412,0.0,0.0,0.0,0.20588745826140092,0.0,0.0,0.2993146253351714
