Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28532312877281013,0.14865244520678875,0.11077996702112457,0.0,0.0,0.0,0.17579373041494714,0.0,0.0,0.2794507285843295
F2,0.20620821774490125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2949007468800394,0.08295239991336041,0.0,0.0,0.0,0.0,0.2942023956256008,0.0,0.121736239836098,0.0
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14923191528295332,0.16447103567937968,0.1289162731232423,0.0,0.0,0.0,0.2575658390018566,0.0,0.0,0.29981493691256805
F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15932192938972628,0.15387321253911254,0.15226945437929257,0.0,0.0,0.0,0.23723732313077234,0.0,0.0,0.29729808056109625
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16011870288735214,0.15082605252858516,0.14228469231543256,0.0,0.0,0.0,0.2469752355284518,0.0,0.0,0.29979531674017845
F6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2473619125217003,0.15733143256658627,0.13715474558629245,0.0,0.0,0.0,0.1885111619231165,0.0,0.0,0.2696407474023045
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1593826278873019,0.15063401100556234,0.1449027935348472,0.0,0.0,0.0,0.2480080108958761,0.0,0.0,0.29707255667641247
F8,0.08013548214093899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24148053745313863,0.17134406268379582,0.0,0.0,0.0,0.0,0.29996481060750907,0.0,0.0,0.20707510711461746
F9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26702272205685346,0.17168822014962382,0.08303425666056637,0.0,0.0,0.0,0.18975799859723472,0.0,0.0,0.2884968025357217
F10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2861532694558631,0.18298122540627432,0.08273154402135112,0.0,0.0,0.0,0.17938835378900797,0.0,0.0,0.2687456073275035
F11,0.0,0.0803672648197444,0.0,0.0,0.0,0.0,0.0,0.0,0.2760155042907264,0.0,0.12675413162683372,0.0,0.0,0.0,0.21861772503402332,0.0,0.0,0.29824537422867226
F12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15245449888010068,0.15896321939376873,0.14300750676410873,0.0,0.0,0.0,0.2555031180133998,0.0,0.0,0.290071656948622
F13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692615999407675,0.1588246138329961,0.10119958315245359,0.0,0.0,0.0,0.18024676180278493,0.0,0.0,0.29046744127099794
F14,0.0,0.09524510816071298,0.0,0.0,0.0,0.0,0.0,0.0,0.2627654123698356,0.0,0.1328384599588649,0.0,0.0,0.0,0.20931128426643347,0.0,0.0,0.2998397352441531
F15,0.0,0.10953416632811772,0.0,0.0,0.0,0.0,0.0,0.0,0.25560011394251697,0.0,0.13347161171911645,0.0,0.0,0.0,0.20202688632421542,0.0,0.0,0.2993672216860334
F16,0.0,0.11019537918620273,0.0,0.0,0.0,0.0,0.0,0.0,0.25580312718596954,0.0,0.1320939414530328,0.0,0.0,0.0,0.20236700550076364,0.0,0.0,0.29954054667403124
F17,0.0,0.1077488687373816,0.0,0.0,0.0,0.0,0.0,0.0,0.25684583650794524,0.0,0.13236829013953935,0.0,0.0,0.0,0.20317247514312511,0.0,0.0,0.2998645294720087
