Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,90,0.7,0.3,5,159,-0.12997851090287504,0.00954173462768636,0.1352486206088632,0.43607645161661623,0.032125975288589355,0.2650327887974325,1.0596614756292193e-05,2.4811969857573226e-05
R2,96,0.7,0.3,9,159,-0.130118620949413,0.008904629951924668,0.13226792240131793,0.4210218108047721,0.031716198049612655,0.2622324741102586,8.437525678257206e-06,2.3326732028243442e-05
R3,19,0.6,0.2,8,159,-0.13116991451928983,0.008603060565934493,0.13325102048823478,0.42166527880923016,0.03171347565183712,0.26426378791442245,9.632444137744162e-06,2.406070492261161e-05
R4,18,0.6,0.2,8,159,-0.13118376232226153,0.008665641858460242,0.13368647304055237,0.4259991075899252,0.03161274941827154,0.26470241329821653,9.793761493509961e-06,2.436759462021764e-05
R5,124,0.8,0.2,7,159,-0.13028157859721579,0.008986149861985964,0.13238661115558367,0.4151891584095153,0.03215549437375349,0.2625268684730182,8.716162814297268e-06,2.322799423042397e-05
R6,81,0.7,0.2,9,159,-0.13135189425636604,0.008831685775661263,0.1343884310161863,0.429407154670939,0.0316946303166213,0.2655634116606091,9.978448432279142e-06,2.4801416741507055e-05
R7,131,0.8,0.3,2,159,-0.1436620598961426,0.013411547844255085,0.15346196558538333,0.43034210978141646,0.03873941503758668,0.29692407350356825,1.2441023144273246e-05,3.8846019391133116e-05
R8,105,0.7,0.4,4,159,-0.12931036283273178,0.00810775056737418,0.1342208780457625,0.44127064931047616,0.030821925515232464,0.2633220528174541,1.394117887056723e-05,2.4261933959488252e-05
R9,74,0.7,0.2,5,159,-0.14247435656979449,0.006446880368585782,0.13989986104149266,0.3839724668288836,0.0340020983337343,0.2822821413852117,1.7253686517747458e-05,2.9460134217176912e-05
R10,71,0.7,0.2,4,159,-0.12982839187401796,0.007725686054492069,0.13081503149751667,0.4065143653479171,0.03160444563484046,0.2605200519641507,1.1283013716371926e-05,2.2187815210092383e-05
R11,38,0.6,0.3,6,159,-0.13257217850363956,0.008247563205521946,0.13578834460251685,0.42317280522512973,0.03212017235648937,0.2681961584730687,1.3383515894019057e-05,2.5514311598713374e-05
R12,157,0.8,0.4,9,159,-0.1255761038444838,0.008569082665617525,0.13099503838743726,0.4294717057352094,0.031239833473456432,0.2563984827642899,1.268930055121998e-05,2.1478358458102475e-05
R13,85,0.7,0.3,1,159,-0.13091568515779248,0.007394207555531916,0.13011246870063917,0.400741464625731,0.03141425474708194,0.26091594140217605,1.0167600285309974e-05,2.2141827008296968e-05
R14,24,0.6,0.2,10,159,-0.126651306917348,0.009038937214935264,0.12627638535451063,0.4239775600958625,0.030004095366563177,0.2527748333864941,2.3624979926532426e-06,2.0327542384762443e-05
R15,122,0.8,0.2,6,159,-0.13007117230952053,0.009241797178693735,0.13571183997290023,0.4416705269389636,0.03176414501665593,0.2655721062942961,1.182749529530482e-05,2.5171544492075742e-05
R16,127,0.8,0.2,10,159,-0.12980392235782992,0.008476610311227244,0.12826865781109353,0.40075483454135646,0.03145545497495666,0.25796301980704683,5.276485322943326e-06,2.1224839211477395e-05
R17,65,0.7,0.2,1,159,-0.12734808301281647,0.008199011154588962,0.12948829873300993,0.413243471181082,0.03129316909951163,0.2567015070379739,1.0211851489514928e-05,2.1137042480605372e-05
R18,9,0.6,0.2,4,159,-0.12879513993192881,0.0085484347910121,0.12555622994950857,0.40120015501256323,0.030638616364364116,0.2542435858951375,1.993208247347624e-06,2.0089006453311047e-05
R19,132,0.8,0.3,4,159,-0.1303878269851776,0.00941333216217632,0.13607244819231487,0.43960785640554945,0.032058883811621974,0.26625482662996924,1.1656429015019715e-05,2.5369663586613177e-05
R20,143,0.8,0.4,2,159,-0.12587061154548027,0.008804444301734908,0.12893546715018273,0.4241546594118932,0.030925626853043557,0.2546490454266071,8.454647580104445e-06,2.0822334975829526e-05
R21,20,0.6,0.2,8,159,-0.1259209519797598,0.008110004240434177,0.12856507928074468,0.42593964121822625,0.030329029437605105,0.2543244758400537,9.704006180285827e-06,2.0743514567863906e-05
R22,53,0.6,0.4,3,159,-0.12652577360593883,0.008310999881431996,0.12800776509666084,0.41335789884941243,0.03093829049583491,0.2544002033094088,8.437371029662983e-06,2.04182011417875e-05
R23,89,0.7,0.3,4,159,-0.13153865428466655,0.008880485335592991,0.13765456239410975,0.4343518415317283,0.03250884597051633,0.268998800053862,1.532228392924321e-05,2.6177270959921347e-05
R24,2,0.6,0.2,1,159,-0.13403873945849631,0.007456708265492207,0.1361922680132817,0.4133587823350103,0.03230785528090152,0.27008760145099275,1.5633857802983756e-05,2.584163560545621e-05
R25,156,0.8,0.4,9,159,-0.12461323954101142,0.0087563697490506,0.12704295386460213,0.4399232601688243,0.0294568447112495,0.25146350776864895,5.777468996557633e-06,2.0282408050585413e-05
