Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,,0.6,0.2,1,,-0.24937955482559432,0.03332495284793995,0.1562182379849182,0.408878391184906,0.035916205898730895,0.04232385444100078,-0.0004063659165527379,0.00015118437430864697
R2,,0.6,0.3,1,,-0.26311693443364265,0.016556099707840048,0.1452371563363513,0.3788049695011151,0.024802197583629643,0.042591655890821395,-0.0003505068631553347,0.00014078427685784546
R3,,0.6,0.3,1,,-0.292407019779371,0.014010819840992445,0.14912087044607814,0.32640898672023383,0.027239211088691914,0.04442468262467047,-0.000382125807622038,0.0001617905552319723
R4,,0.6,0.4,1,,-0.2658493925936266,0.030386490574809723,0.19118903981685242,0.4300013115441382,0.04207205012058761,0.050474422492049885,-0.0004430009942471182,0.0002435784477231882
R5,,0.6,0.4,1,,-0.3148052851870033,0.016282197724091937,0.1757107163567612,0.3103814427347132,0.037903805817480776,0.050257128248371086,-0.000427682233144921,0.00022986061827277534
R6,,0.6,0.4,1,,-0.266745561480052,0.03036811666850197,0.19458665630513533,0.42863388686150394,0.04327049469240874,0.05113309335827191,-0.00043796888897823657,0.00025094918102598217
R7,,0.7,0.2,1,,-0.38590558176368156,0.030559690618680732,0.2558053414245017,0.3400326484560094,0.06176559494648057,0.0688212989691307,-0.0008877160723300634,0.0007423806381423498
R8,,0.7,0.2,1,,-0.25377879246192203,0.006112691830537695,0.13718599652389657,0.33076052394686173,0.02306219565473538,0.04095953698586284,-0.00022052419346205783,9.979150384154872e-05
R9,,0.7,0.2,1,,-0.3849820149999914,0.03038500381638162,0.25441261072977933,0.34073577053213233,0.06115065038021699,0.06853512840466644,-0.0008861611254408896,0.0007336025832266744
R10,,0.7,0.2,1,,-0.4135807982710036,0.025983636701876832,0.22765975363448557,0.3427847118289995,0.04497407809984521,0.06575753380329492,-0.0011896504028942481,0.0007613155142931218
R11,,0.7,0.4,1,,-0.16446809671450605,0.013565776667948717,0.11935929799628217,0.4499632399850583,0.022422836669807506,0.03213765689955567,-9.262139161350258e-05,3.6882979046500735e-05
R12,,0.7,0.4,1,,-0.1831706827252355,0.014206765895853565,0.10304651601725083,0.3809166062406808,0.01915109134696906,0.02972129949906603,-0.0001251627627235606,3.4335564636070574e-05
R13,,0.7,0.4,1,,-0.1742548764009814,0.011407438408062517,0.11251305330846226,0.3955917204336995,0.02131690546795288,0.03136650188914727,-9.741551565890818e-05,3.4734278845903477e-05
R14,,0.8,0.2,1,,-0.26780097683450715,0.018230846934599948,0.1448638829030592,0.3746647253169036,0.025311483007379815,0.042556815474813506,-0.00037496463239640747,0.0001459842517899103
R15,,0.8,0.3,1,,-0.4119843520142354,0.02317085186035243,0.23521029941064378,0.3530032510698193,0.04476290857433765,0.0677612707467011,-0.0011655697323748725,0.0008114478227122812
