Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,,0.6,0.2,1,,-0.232469950494548,0.011744585653644809,0.12049548126325609,0.3390271116002994,0.021436527879318847,0.0036975433103366394,-0.00020340230489043293,6.920775763894505e-05
R2,,0.6,0.2,1,,-0.24273691412813156,0.017043662250591722,0.1294579660145266,0.36760572819029047,0.023228732796079753,0.00429409578605708,-0.0002759825082349213,9.482542218324888e-05
R3,,0.6,0.2,1,,-0.24790370768101622,0.014147535477685132,0.12805674971737893,0.3460491452825458,0.02277523142987162,0.004229242549304774,-0.00026079965040724394,9.165154087175558e-05
R4,,0.6,0.2,1,,-0.24875954779363008,0.01383184824563324,0.12841355094440846,0.3444658361397875,0.02280490551879985,0.0042475447907013054,-0.00026043175312595644,9.226750779476852e-05
R5,,0.6,0.3,1,,-0.31252998443963637,0.03177682605841103,0.22194448764903604,0.38248211948714855,0.05292591078551206,0.009348988921545377,-0.000584398243405535,0.0004038544355573553
R6,,0.6,0.4,1,,-0.14879730322516774,0.009877781094284417,0.10656826142533779,0.81303568551689,0.0009650978301795014,0.0029002314855034487,-0.00011287098847103459,3.52845987478359e-05
R7,,0.6,0.4,1,,-0.17441347546655794,0.013408019771593881,0.09213538373184658,0.388538208928536,0.015479095873482281,0.002269211278236899,-0.00011292660835120454,2.6798719057740925e-05
R8,,0.6,0.4,1,,-0.22424089630006153,0.021350459064580576,0.1052976484018242,0.37488797655913686,0.018396743171250254,0.0033300622091433922,-0.0002467137173058352,6.225877284204054e-05
R9,,0.7,0.2,1,,-0.2254755271438506,0.022495888176314056,0.15700739713893624,0.39174589025139234,0.03592137280425012,0.004830121924421082,-0.00022984048544113202,0.00010891603797900629
R10,,0.7,0.2,1,,-0.2420153549587293,0.024536165608767233,0.1716488541582631,0.396825381950914,0.03933339084710229,0.005697090504489141,-0.0002857432709076484,0.00015045990912149556
R11,,0.7,0.2,1,,-0.22833183041587016,0.024656360266855432,0.16126414189425547,0.40707869063393165,0.03660369499739601,0.005101601885847696,-0.00025815663425354714,0.0001220163881294586
R12,,0.7,0.2,1,,-0.22783892955497553,0.027785409752892284,0.14664517875332328,0.40583310663467964,0.03316263026944196,0.004636938664160243,-0.0002909685702798295,0.00010732283736290509
R13,,0.7,0.3,1,,-0.17363242771707815,0.010868691188686917,0.10924863540089387,0.4541703471850634,0.015883580610334173,0.0028319050885214467,-0.00011612254627622998,3.783567543294538e-05
R14,,0.7,0.4,1,,-0.3329459092445805,0.019108746718749504,0.22532820739332807,0.35143458848497167,0.04963011942697983,0.009919999536093127,-0.0005090554169117637,0.00043678451452346925
R15,,0.7,0.4,1,,-0.33007392815569725,0.019250557105400058,0.20028039121810137,0.3601077913739175,0.039556067302022324,0.008850440794875594,-0.0005939896945743969,0.0003709926283071239
R16,,0.8,0.4,1,,-0.30874718041971616,0.0347754242721985,0.19818693369094298,0.37056398362450327,0.047950440174607284,0.008101935920217176,-0.00062132121898821,0.000324142250512343
