Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,954,0.7,0.3,4,2024,-0.021425762615148884,0.012189673513319205,0.11894056012990976,0.773558234375857,0.03495390747874484,0.0007569799350564343,4.825287729011665e-05,1.3595824908673358e-06
R2,1374,0.8,0.2,4,2024,-0.019969796144565476,0.011827108178583031,0.11964212864867019,1.3007665138930093,0.0262689630299541,0.0005763429370442676,4.065226440929884e-05,8.303651876976313e-07
R3,349,0.6,0.3,7,2024,-0.017761262610321054,0.016573661284259612,0.10846967856425437,0.9754808825257195,0.03135562043518433,0.0005580225793288273,2.892107759297997e-05,8.121817146163986e-07
R4,1737,0.8,0.3,9,2024,-0.020290672972536027,0.011792784722230481,0.11995585572160528,1.0566426190388074,0.029847044987356942,0.0006496246732373482,4.5735050661135966e-05,1.0297589949776513e-06
R5,1448,0.8,0.2,8,2024,-0.01230513737257215,0.014762542092222669,0.10590945056800444,1.3607714313347206,0.026265981778642408,0.0004038030324416702,2.3880680330649748e-05,4.104102284350291e-07
R6,2002,0.8,0.4,9,2024,-0.021156284547193788,0.01153889078714674,0.12024161727714783,0.9309839466272147,0.031804218020516334,0.0007043617571678125,4.8687168081888465e-05,1.1939737746770214e-06
R7,1407,0.8,0.2,6,2024,-0.021665638788257675,0.011199156168474656,0.12054687024150824,1.0964400593021668,0.028684377369152334,0.0006562906469404772,4.650942706226009e-05,1.060764320539201e-06
R8,344,0.6,0.3,7,2024,-0.039088534340569844,0.011153582129990085,0.14051226274454243,1.2512224677398218,0.025922139350047044,0.0010278181000340305,7.176063063511474e-05,2.867577397140391e-06
R9,301,0.6,0.3,5,2024,-0.020063937664921806,0.011661317864346096,0.11821503329585886,0.9835599544675038,0.030654952107154798,0.0006551570461546404,4.49893527360676e-05,1.0380146793123506e-06
R10,949,0.7,0.3,4,2024,-0.02995984709323205,0.036290822317586284,0.1134734912017929,0.5861563615099338,0.048379610814534124,0.0008089708992944137,1.0276471771315743e-05,2.2333787346947214e-06
R11,179,0.6,0.3,1,2024,-0.014784381268495652,0.011919337725314573,0.11076351110526152,1.367953571876779,0.02507726580719445,0.0004455766770073222,3.0172882696435627e-05,4.860910593912629e-07
R12,866,0.7,0.3,1,2024,-0.014455569665254488,0.012134329629137353,0.11099245306163824,1.3437293405418784,0.02560186073364135,0.0004491785980705519,3.053051909118333e-05,4.923551904047357e-07
R13,1595,0.8,0.3,4,2024,-0.021225159433787753,0.012029884210342595,0.1186798541353815,0.7324062130886126,0.03578117554196042,0.0007704903072284506,4.848837595504072e-05,1.3916991543644654e-06
R14,959,0.7,0.3,4,2024,-0.023572029624866146,0.011985634805120056,0.12264985319424747,0.7585910945209287,0.035780390468139904,0.000828031008281539,5.392733183733186e-05,1.6322448704357474e-06
R15,761,0.7,0.2,7,2024,-0.02259029783168263,0.012488597400240432,0.12114227526711357,0.7260383457867506,0.03658570248591689,0.0008149947330516607,5.133487301653677e-05,1.5722583589030118e-06
R16,1555,0.8,0.3,2,2024,-0.024302283548787655,0.012062529762202127,0.12264661764872842,0.6846275196140766,0.03749477960691089,0.0008718473027875386,5.440506031187775e-05,1.7922550042615176e-06
R17,821,0.7,0.2,9,2024,-0.05359822536505804,0.01241833589333319,0.1416681707893012,0.9715450329725647,0.02893121579780024,0.0013881382643182382,7.617445754776681e-05,5.622333209850972e-06
R18,656,0.7,0.2,1,2024,-0.03491999481025083,0.019885041287626762,0.1391783793367807,0.9082586247582546,0.03809960361978332,0.0011097201921548333,6.310147128006119e-05,3.430437083074035e-06
R19,1738,0.8,0.3,9,2024,-0.02025977740742234,0.011769939704281342,0.1172707691494287,0.9125631769096956,0.03170959188492496,0.0006731219565278535,4.479790518261474e-05,1.0904096682338824e-06
R20,1627,0.8,0.3,5,2024,-0.02053008103383554,0.011245616548883125,0.11940638631321447,1.2888707686066947,0.025926655539736502,0.0005814987797124497,4.126641563679672e-05,8.434311394517267e-07
R21,551,0.6,0.4,7,2024,-0.021908337663914458,0.013708847752580139,0.1209362970586265,0.7007756209330501,0.037894223256370124,0.0008156075212876095,4.950714446596e-05,1.5798490397496405e-06
R22,158,0.6,0.2,10,2024,-0.020291104104029022,0.012106304081721276,0.11823992882440645,1.1483761462239856,0.028148470185603673,0.0006093177099945144,4.161822743950132e-05,9.244508637671886e-07
R23,803,0.7,0.2,8,2024,-0.013314406331415158,0.011610599260420053,0.10311815062346986,1.7253893396313607,0.02050881642876154,0.00033464206213929036,2.005115388051671e-05,2.806070320115275e-07
R24,1529,0.8,0.3,1,2024,-0.023510687657806242,0.01230009408734087,0.12170329264757644,0.7422601084254428,0.036068727547626245,0.0008237352021959275,5.2262594859176113e-05,1.61935124239148e-06
R25,1701,0.8,0.3,8,2024,-0.022029619501296806,0.014125048401890994,0.11713373181072878,0.7626651965336686,0.03552297940296488,0.0007467254738160378,4.341422464105925e-05,1.3687785712150428e-06
