Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,,0.6,0.2,1,,-0.03040147997184293,0.03747971419154078,0.11284946992509623,0.5513898920638145,0.04970770136766318,0.018457578844932446,8.461212239025536e-06,2.222025157393725e-06
R2,,0.6,0.2,1,,-0.05482977357223477,0.012481678291390252,0.14373069360432847,0.9901302270847975,0.028712252380109708,0.025356729029270945,7.907980479472893e-05,5.980871342709144e-06
R3,,0.6,0.2,1,,-0.024497981043286758,0.014095865137635303,0.12337844645915487,0.8947965975696415,0.03382065754215541,0.01977687955915963,5.008931468320705e-05,1.5765011368840762e-06
R4,,0.6,0.2,1,,-0.05333822735520592,0.01201978268980515,0.13980710485301587,0.9490643185508223,0.028888996874306114,0.024876699848190083,7.419891715832903e-05,5.43762775786383e-06
R5,,0.6,0.2,1,,-0.021997773240567238,0.013980939095919933,0.12297621422942621,1.361731910311443,0.02668388691802969,0.017220594533657815,4.0959214452738274e-05,1.0034519134190375e-06
R6,,0.6,0.2,1,,-0.01648199679746775,0.01104060208502916,0.10956240050120479,1.582731280669023,0.021680679248864913,0.01419817110809281,2.6940194156344054e-05,4.330413274809953e-07
R7,,0.6,0.2,1,,-0.025312683558132217,0.014277549632475323,0.12450005095403192,0.9002192758148744,0.03390228747684397,0.01998147677972681,5.1279477870675303e-05,1.666678632657944e-06
R8,,0.6,0.2,1,,-0.025192397903140477,0.014243318899799132,0.124742058925201,0.8829656169196689,0.03433884197515583,0.020106679169970307,5.195357053897619e-05,1.6889218526247665e-06
R9,,0.6,0.2,1,,-0.026045769503331623,0.014977755073732463,0.12661137282303053,0.900346532586053,0.034631599349236236,0.020328624582702598,5.322454060182798e-05,1.8158510956779287e-06
R10,,0.6,0.2,1,,-0.03258746888894594,0.02071404237500482,0.13546022102823727,0.8991997559758277,0.038304996807603096,0.02202310181606107,5.618674634021803e-05,3.010072087846785e-06
R11,,0.6,0.2,1,,-0.03354686861631017,0.020409150090989574,0.13667630416767837,0.895885012733613,0.038323940575065475,0.022327332541149863,5.8525503200537295e-05,3.1725600692284564e-06
R12,,0.6,0.2,1,,-0.020868161836943185,0.03464388079569507,0.10108144946218595,0.6036572307093259,0.04491020270954012,0.01582581591148842,6.95809463430622e-06,1.1627629244425466e-06
R13,,0.6,0.2,1,,-0.02956377064582869,0.036354012932144075,0.10941671258793799,0.5602844293369083,0.04793202756246702,0.01788758717545889,7.600043122798217e-06,1.9798796704843076e-06
R14,,0.6,0.2,1,,-0.053718831013973775,0.01209767650716346,0.14093369851677748,0.9540290084432944,0.028997416560827938,0.02504671244779794,7.5934799841271e-05,5.59351880805765e-06
R15,,0.6,0.2,1,,-0.030494357690211957,0.03728620103925312,0.1135125170466845,0.5583116903793311,0.04960197776264556,0.0185848558508351,9.08395167777943e-06,2.2680434832322704e-06
R16,,0.6,0.2,1,,-0.03730966705537341,0.01901087178605515,0.142777101685163,0.9479089831763496,0.037076265447113475,0.023362832730598703,6.966674319134337e-05,3.8269771851624724e-06
R17,,0.6,0.2,1,,-0.03021744795341862,0.03665950347073501,0.11363471864464195,0.5829035682525395,0.04866036136154704,0.018593049978669562,9.867999953423753e-06,2.2667773905951236e-06
