Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
R1,0.2954645826306535,0.0878297664716339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25694816818217514,0.0,0.0,0.2364398866789651,0.0,0.0,0.0,0.1233175960365723,0.0
R2,0.28703038065776443,0.15788722533503974,0.0,0.0,0.0,0.0,0.0,0.148031837804749,0.1509610254345053,0.25608953076794155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3,0.26666583895655976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09085200910605849,0.254583231955621,0.0,0.0,0.2326580698268491,0.0,0.0,0.0,0.15524085015491165,0.0
R4,0.29943229103763336,0.09163069093674055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258758913360092,0.0,0.0,0.24298155518554665,0.0,0.0,0.0,0.10719654947998747,0.0
R5,0.29507971898949764,0.09114485832193629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24910001292302156,0.0,0.0,0.24575785545564333,0.0,0.0,0.0,0.11891755430990118,0.0
R6,0.2994445237378212,0.08534678308205072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2596475550439972,0.0,0.0,0.24421015925352338,0.0,0.0,0.0,0.11135097888260749,0.0
R7,0.27631459388530194,0.08143773810411495,0.0,0.0,0.0,0.0,0.0,0.15431768520388067,0.0,0.0,0.0,0.23365730307183818,0.0,0.2542726797348642,0.0,0.0,0.0,0.0
R8,0.20267782274365204,0.12929352613780867,0.0,0.0,0.0,0.0,0.0,0.22598312084906175,0.17449121007029736,0.2675543201991801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R9,0.2966276120849617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11295887689153962,0.22087782054240365,0.0,0.12915884998392976,0.24037684049716515,0.0,0.0,0.0,0.0,0.0
R10,0.29028160958036775,0.08021474088699641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2720678449270387,0.0,0.0,0.2394581227662111,0.0,0.0,0.0,0.11797768183938602,0.0
R11,0.27004859872229475,0.08434605809889345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270542824659109,0.0,0.0,0.24855869608395434,0.0,0.0,0.0,0.12650382243574848,0.0
R12,0.29257594955326344,0.08839043617288513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25628601726696204,0.0,0.0,0.2532706810362584,0.0,0.0,0.0,0.1094769159706311,0.0
R13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692710139004745,0.0,0.19924656272017635,0.14154231204690199,0.2662386500294154,0.0,0.12370146130303175,0.0,0.0,0.0,0.0
R14,0.29915317717333273,0.23513968546589095,0.0,0.24517533622279428,0.0,0.0,0.0,0.0,0.08620245195942074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13432934917856135
R15,0.2906163435486825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25888048648608125,0.0,0.0,0.22834340465994712,0.0,0.08716921694530429,0.0,0.13499054835998495,0.0
R16,0.29708565862700864,0.1922277863092841,0.0,0.0,0.0,0.0,0.0,0.1252545622362852,0.10218330621193471,0.28324868661548724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27884480993073346,0.0,0.20874004979575722,0.0,0.24854190432026857,0.08928023047270393,0.17459300548053688,0.0,0.0,0.0,0.0
R18,0.2583448278399846,0.0,0.08116362797498558,0.0,0.0,0.0,0.0,0.0,0.0,0.2576027543576646,0.0,0.0,0.2785657484259348,0.0,0.0,0.0,0.12432304140143041,0.0
R19,0.26195916851231,0.0,0.0,0.0,0.0,0.10572065193571398,0.0,0.0,0.0,0.2420433576379798,0.0,0.0,0.24610366967473285,0.0,0.0,0.0,0.1441731522392634,0.0
R20,0.27363779348738954,0.0,0.0,0.0,0.0,0.09048461770706645,0.0,0.0,0.0,0.2745838596864946,0.0,0.0,0.22806040679561004,0.0,0.0,0.0,0.1332333223234394,0.0
R21,0.2900107160823189,0.08094433141452598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26177100583854407,0.0,0.0,0.26046431680992843,0.0,0.0,0.0,0.1068096298546827,0.0
R22,0.2946487291764358,0.12941282199235365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19653576005310813,0.0,0.08486572197028762,0.2945369668078148,0.0,0.0,0.0,0.0,0.0
R23,0.29999999356900636,0.20397473821709905,0.0,0.0,0.0,0.0,0.0,0.10205391440175221,0.0,0.0,0.13602077386606623,0.0,0.25795057994607606,0.0,0.0,0.0,0.0,0.0
R24,0.2878634422266509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22497691779004364,0.0,0.0,0.268055175622063,0.0,0.08879758238075085,0.0,0.13030688198049162,0.0
R25,0.2919837471503263,0.08359455656158137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27405685852826017,0.0,0.0,0.24319886757647163,0.0,0.0,0.0,0.10716597018336056,0.0
