Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,1,0.6,0.2,12,17,-0.12899342346589832,0.008878080675568115,0.13435192263673398,0.4469003274610734,0.03094560682121819,0.002575226345062038,1.1589153582140968e-05,2.441476456004915e-05
R2,2,0.6,0.2,12,17,-0.1287761127184124,0.008358772190876839,0.13260950131318097,0.4344113887746385,0.030903829287314586,0.002521228234556347,1.1467982064782588e-05,2.332630205226906e-05
R3,3,0.6,0.3,4,17,-0.13134238666283501,0.008626355416750294,0.13304121359392912,0.41625921600287535,0.03198068864429403,0.0025487659982325224,9.451167161077503e-06,2.3867156479120792e-05
R4,4,0.6,0.3,13,17,-0.1307208118123448,0.010076215181681423,0.1345485746263405,0.44457388095689737,0.03149349246408097,0.0025990936572986155,5.600867860887176e-06,2.5217710372673956e-05
R5,5,0.7,0.4,5,17,-0.1286655191654909,0.008125063623497015,0.13332273869307293,0.4362980297894444,0.030932382141713954,0.002539173253971584,1.3536608799061076e-05,2.3555841215069605e-05
R6,6,0.7,0.4,5,17,-0.12849876322287224,0.008299182203282735,0.12980364132203925,0.41693872134473764,0.03104826009177645,0.002433349244149951,8.60431519813075e-06,2.1770883758805635e-05
R7,7,0.7,0.4,5,17,-0.12965371153157776,0.010383585799760016,0.13469705185127795,0.45501691653316884,0.031206067700709366,0.0025952474516540546,5.446344254139936e-06,2.519412330641898e-05
R8,8,0.7,0.4,6,17,-0.13161181316729942,0.00858274259480812,0.13360490234046618,0.43732411769681956,0.030746045414491188,0.002592583724775241,8.2166063883125e-06,2.490235273902538e-05
R9,9,0.7,0.4,7,17,-0.131568935836789,0.00811556866527557,0.13111921544619362,0.4276043440287629,0.03027645173031587,0.002526260986808341,6.236456996810544e-06,2.3695600144002093e-05
R10,10,0.7,0.4,7,17,-0.13141347082585825,0.009020773592030053,0.13191142619093552,0.4350651401564898,0.030550321847145446,0.0025453748440570387,4.2187275669605525e-06,2.4215721786674813e-05
R11,11,0.8,0.2,13,17,-0.1289695482736606,0.008300335721052045,0.12915595798580554,0.42744595693772425,0.030080552702189886,0.0024389998089312695,5.895923070148208e-06,2.2087344728107324e-05
R12,12,0.8,0.3,3,17,-0.12803910964813045,0.009786143691448916,0.13111937320507347,0.44178911079002203,0.030747438565982436,0.00247587648400836,4.6137926617536985e-06,2.290637204291858e-05
R13,13,0.8,0.3,3,17,-0.12810999098113945,0.009610802955923847,0.13124513090163686,0.43898181352650095,0.03086798754569447,0.002477492653148045,5.548944293564517e-06,2.287090068264899e-05
R14,14,0.8,0.3,7,17,-0.12914918048605611,0.008319275432787546,0.12886049006541786,0.4262878588379261,0.030033013132166327,0.002433741138388529,5.193101913637347e-06,2.2026906068938074e-05
R15,15,0.8,0.4,5,17,-0.1284234242363365,0.008222257843006286,0.1327336510121471,0.4332301964820053,0.03100727787461205,0.002517824052345133,1.2731620684726566e-05,2.3181898698358174e-05
R16,16,0.8,0.4,5,17,-0.12959595045712247,0.008826580793104336,0.13106969190204207,0.42854343476354506,0.030850077799590706,0.002489861127592838,6.593584788165066e-06,2.2993204956432615e-05
R17,17,0.8,0.4,7,17,-0.1298626418017484,0.009075407704486395,0.13092414544014627,0.4304798961820975,0.030759983899528352,0.0024917169314233375,4.991715867897216e-06,2.3131749622624305e-05
