Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187079745825807,0.18581277206089908,0.12045525163418849,0.0,0.0,0.0,0.2496846515964774,0.0,0.0,0.256967578882628
F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16372728023248115,0.21707662819298312,0.12445989895976274,0.0,0.0,0.0,0.21907397351029495,0.0,0.0,0.27566221910447797
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1586015780072022,0.28850854385302327,0.2242875596511934,0.0,0.0,0.0,0.21439659380626175,0.0,0.0,0.11420572468231935
F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14946129917987633,0.2745887859113514,0.21656627798620698,0.0,0.0,0.0,0.2183152865711857,0.0,0.0,0.14106835035137957
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1303412630397133,0.17547325760971932,0.14711775484415945,0.0,0.0,0.0,0.275695423975067,0.0,0.0,0.2713723005313409
F6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15782442383207865,0.11192899954705454,0.17722944326979598,0.0,0.0,0.0,0.2666900894819046,0.0,0.0,0.2863270438691663
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232791472967661,0.16139514480314518,0.16772661147752332,0.0,0.0,0.0,0.22315093557752919,0.0,0.0,0.21493583517414128
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1543006606340847,0.125423884523782,0.16498955621159536,0.0,0.0,0.0,0.2671336574269121,0.0,0.0,0.28815224120362587
F9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25709943544022695,0.17566400108636465,0.11974259618066418,0.0,0.0,0.0,0.2150530802636062,0.0,0.0,0.23244088702913795
F10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22091439605112856,0.11499299506658192,0.1643134321980644,0.0,0.0,0.0,0.2129845700059822,0.0,0.0,0.2867946066782429
