Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,,0.6,0.4,1,,-0.13251594894269236,0.00853547804497512,0.1300795188691292,0.4347592214051453,0.029521798031799603,0.03227139826647867,9.782112160081246e-07,2.4013701124434727e-05
R2,,0.6,0.4,2,,-0.13108065357839038,0.009154601293610405,0.13219205963994154,0.4424645868724941,0.03029492071270455,0.0324937538869541,4.042959564589414e-06,2.443665922059543e-05
R3,,0.8,0.2,3,,-0.14604637774019288,0.0004670077688549122,0.11815053859522119,0.3142310973627229,0.027724188436433088,0.03166931929449,1.82415556621654e-06,1.953608319666774e-05
R4,,0.8,0.2,3,,-0.1443449914311526,0.00172374115820002,0.11970834022180488,0.3284595726214478,0.028072651966906437,0.03174200556418183,9.425875224868884e-07,2.0200518759990236e-05
R5,,0.8,0.4,2,,-0.1348693186909105,0.0068755027264454475,0.13378787269450299,0.43261626538076925,0.02976762543733192,0.033310870982955265,9.919093899868371e-06,2.6027665829140934e-05
R6,,0.8,0.4,2,,-0.1357139781126296,0.01131118167080896,0.13814472135954353,0.4463745959690644,0.032469339302894515,0.03367311297424019,2.3895327876238628e-08,2.887458618063675e-05
R7,,0.8,0.4,2,,-0.13674810449080074,0.0053242569287114865,0.12506051375889227,0.3820850584838721,0.029003165077847094,0.03194494662291216,2.1671003129189514e-06,2.182908298052539e-05
R8,,0.8,0.4,2,,-0.13481411299711302,0.010779101497191482,0.1378895011580914,0.4433606937807729,0.032450777656343646,0.03362039639462202,3.218061527787451e-06,2.8196112319754455e-05
R9,,0.8,0.4,2,,-0.1321048822280629,0.006665270496953484,0.12420701875212517,0.39264784803823255,0.02930342216773613,0.031327854852368206,1.8481794794723116e-06,2.0427466178125568e-05
R10,,0.8,0.4,2,,-0.1326583293742475,0.009920791088533502,0.13399899045757213,0.43696699893405605,0.03141600602234386,0.032847041537226444,2.959594056860138e-06,2.55636304461319e-05
