Rep,Center position,cp,mp,run,Total solutions,b1,b2,b3,k,Mean,Risk,Skewness,Semikurtosis
R1,,0.6,0.2,1,,-0.3582614553382203,0.024185747695948848,0.2582019353453773,0.3148527792804583,0.06738511747948084,0.6164260322439882,-0.000493936160131521,0.0005774843188253529
R2,,0.6,0.2,1,,-0.12536666465022375,0.013127766735296914,0.11113685731967425,0.4604880248596373,0.02484784346269442,0.23629537141753187,-3.108318747819543e-05,1.725951537849498e-05
R3,,0.6,0.2,2,,-0.14986870337003796,0.02407938752931793,0.13736453546797084,0.47914071009275716,0.03419997171091974,0.28693293769911016,-8.114119550352767e-05,3.9675679337683724e-05
R4,,0.6,0.2,3,,-0.29745406090233145,0.022886821859048077,0.25588552083950367,0.36837866480397213,0.06490441365012078,0.5532185655074081,-0.00021102900207650097,0.000430109933440407
R5,,0.6,0.2,3,,-0.12638653986093681,0.016762188870982905,0.10119097796183409,0.7018481498910845,0.012049699883662286,0.22626832599104638,-7.682151888269018e-05,2.1080154594797956e-05
R6,,0.6,0.2,3,,-0.12656728343093168,0.017439303895163384,0.10073782284335388,0.6885656239005304,0.012743168170466602,0.22610624129859636,-7.830372575537897e-05,2.0958555809446846e-05
R7,,0.6,0.2,3,,-0.12635163149109385,0.016607220495112963,0.1013197686847004,0.5239509420984159,0.019825540304213782,0.2273119060871762,-5.782638066692215e-05,1.7338653273894977e-05
R8,,0.6,0.2,3,,-0.2969734076742595,0.02290954767143439,0.25553878783087464,0.3682262623524931,0.06487626702265234,0.5523917197717747,-0.0002100999849940118,0.00042740101358828414
R9,,0.6,0.2,3,,-0.275527453286335,0.026465525057820544,0.22495245946808407,0.3699358879065187,0.058134486573085696,0.5003737463647496,-0.00027449752294971626,0.00029247307473609537
R10,,0.6,0.2,3,,-0.27828215655866634,0.022445630354247577,0.22231483578611339,0.3415053118730177,0.05866206122235226,0.5005369664264769,-0.00022318304169966272,0.0002713367772248489
R11,,0.6,0.2,3,,-0.29742778862944097,0.022891214099459427,0.2558714307016843,0.36839265261377113,0.06490293101591224,0.5531781806151981,-0.0002110218891015284,0.00042999875818901717
R12,,0.6,0.3,1,,-0.15053715160090125,0.022133126552406405,0.1311177083008562,0.4537186324724416,0.03267191259795013,0.2814422114583803,-7.802415072353693e-05,3.542481384049121e-05
R13,,0.6,0.3,2,,-0.1315834358707159,0.006598024362599946,0.1228301462962473,0.397287027385368,0.02854570553178467,0.254313103687105,1.0851204769384669e-07,2.0009527650257296e-05
R14,,0.6,0.3,2,,-0.3266280343414385,0.022052679574595932,0.2581612663818892,0.340291778844072,0.06586978278830202,0.5847202593710967,-0.0003217378648275956,0.0005030170841321468
R15,,0.6,0.3,2,,-0.3268382249631175,0.021721449157214558,0.25953375945965135,0.337161831809157,0.06670152906215426,0.5863071278499955,-0.0003048501581905772,0.0005039090428062953
R16,,0.6,0.3,2,,-0.1861769644406372,0.0159865877995245,0.17362650657532563,0.4330118141769422,0.040445811221941436,0.3595698508296237,-4.950804994360814e-05,8.62387381522959e-05
R17,,0.6,0.3,2,,-0.25726988271297707,0.020041800552641452,0.19087294276736597,0.3147079693159493,0.0518203199869194,0.44811565505305945,-0.00018513630726948554,0.00016118069353444016
R18,,0.6,0.3,2,,-0.26585784479828717,0.021512785505181008,0.22102744942394784,0.36339344865755674,0.05638388585538392,0.4867911285872973,-0.0001879832878097004,0.000256081496783352
R19,,0.6,0.3,2,,-0.2623524594390232,0.02024227605263322,0.2134086653363428,0.35189750705308515,0.05490540911889957,0.47568873662886535,-0.00017770135613380105,0.00022714555573381863
R20,,0.6,0.3,2,,-0.26799123489182325,0.019301952171609123,0.2155419091052029,0.3483599559451577,0.05495953549008896,0.4834648447652439,-0.0001830788966987192,0.0002401369813692932
R21,,0.6,0.3,2,,-0.13255641032883875,0.005935775943113796,0.12147433917224651,0.3927900297711723,0.027884602382639193,0.25393804254950564,-8.782630215393073e-07,1.9753340955028952e-05
R22,,0.6,0.3,3,,-0.4103961091211883,0.026712009946883764,0.28271987689455436,0.31444472712674376,0.07181148095377468,0.6930755427568176,-0.000805198358121766,0.0009225652107958754
R23,,0.6,0.3,3,,-0.13604082718726443,0.010360832175478726,0.13152415656984598,0.4159509864981693,0.031642433845362236,0.26742462622988455,-5.521881922338674e-06,2.5333516870906714e-05
R24,,0.6,0.3,3,,-0.16032005788145395,0.010072741889351651,0.14539307161404685,0.41477689211645363,0.03291921830445349,0.3055591173583326,-2.0875728414908322e-05,4.341473987798347e-05
R25,,0.6,0.3,3,,-0.3404625622315089,0.01557993296035864,0.25868235917510096,0.31414083298685913,0.06551938271405248,0.5991068160401557,-0.00027169177039647324,0.0005137994817271345
R26,,0.6,0.3,3,,-0.137027731552391,0.01226211663852677,0.1321412913166446,0.4270820129777571,0.03192467467136759,0.2690055914921388,-1.3578848429705792e-05,2.6580925076964134e-05
R27,,0.6,0.3,3,,-0.3394583810896933,0.01548313665425224,0.25720864818283545,0.31436868497597487,0.06499094022552392,0.5966289168853358,-0.00027319773131221053,0.0005056909171924147
R28,,0.6,0.3,3,,-0.33813062951253614,0.01739688210866386,0.2571671175550525,0.31184742363517964,0.06652603180760693,0.5952623344737925,-0.0002818443929159384,0.0004971455567455695
R29,,0.6,0.4,1,,-0.12981677594984142,0.011458175625594967,0.09916634281653777,0.4558836748263557,0.019461295486320376,0.22880723515539625,-4.421851268039823e-05,1.5609942399763626e-05
R30,,0.6,0.4,1,,-0.20681891704845495,0.015082280708515515,0.16823805631932007,0.3494491670656006,0.0430983737667642,0.37500243347012696,-8.12565816459186e-05,8.710300027080825e-05
R31,,0.6,0.4,1,,-0.2774104873657856,0.023429949965301303,0.21297470925509812,0.33508717040935615,0.056662607115546285,0.4903358722134322,-0.00025233751415962573,0.00024614788292835434
R32,,0.6,0.4,1,,-0.28580176818920644,0.013321780376589577,0.23158271955596277,0.3536765315238267,0.05486344760890796,0.5172996429857601,-0.00014997297683558378,0.00031745180572870067
R33,,0.6,0.4,1,,-0.27688131134392663,0.023580035613054252,0.21148840419631182,0.33726605130276077,0.05594941956684143,0.48831834872119984,-0.00025920005872940113,0.00024382136182636455
R34,,0.6,0.4,1,,-0.2765606294627401,0.023451478112561784,0.21121523996237487,0.33649216773189083,0.05592904869694907,0.4877254285112768,-0.0002564788430847066,0.00024206758360275203
R35,,0.6,0.4,1,,-0.2829673375498678,0.014086779139545934,0.22903148311920565,0.3532808615820591,0.054729181179625316,0.5119159406425858,-0.00015510623885098696,0.00030433603647235784
R36,,0.6,0.4,2,,-0.31624524033131446,0.01818993608708862,0.24679662815949435,0.3318821731789699,0.062343098169906644,0.562986598484998,-0.0002571702736789958,0.00042207045730911243
R37,,0.6,0.4,2,,-0.30813318545666313,0.02106627849249674,0.24379233381429827,0.3428525254176602,0.06197143585760769,0.5518566311862265,-0.0002762971280311684,0.0004019477129362334
R38,,0.6,0.4,2,,-0.29161129116476386,0.021106442758003385,0.2259774692924552,0.32153488488952026,0.0605762165594738,0.5175500750147748,-0.00023173053087614483,0.0002927513568041603
R39,,0.6,0.4,2,,-0.19356315445867334,0.017883798112088407,0.16971603761603607,0.392502997787148,0.04260140261863511,0.3631579482591031,-7.618052045839286e-05,8.44035235567654e-05
R40,,0.6,0.4,2,,-0.15209999865884097,0.011185518803938489,0.14168180348113632,0.43150620967502845,0.03215558848866503,0.2935924247145427,-1.976958205755611e-05,3.803066935454721e-05
R41,,0.6,0.4,3,,-0.3237697870966584,0.023079618512829598,0.25575569560234757,0.3424127361095358,0.06550711492758066,0.5794542033930594,-0.00033298684881223275,0.00048827320749517204
R42,,0.7,0.2,1,,-0.13868710118404737,0.009298191763983487,0.09164526682421217,0.4170972789484369,0.016574619555349,0.23023532513731856,-5.187975299810736e-05,1.5164913361454014e-05
R43,,0.7,0.2,1,,-0.1396359777178438,0.010703664144098488,0.09063618288125481,0.4242798962096393,0.016371942947564985,0.230167484885284,-5.790528243650856e-05,1.557266585838518e-05
R44,,0.7,0.2,1,,-0.2741032960650278,0.023723555821313098,0.22136863095106551,0.36173839724021906,0.056736382387525694,0.4953816123576923,-0.0002450172195476547,0.0002748608991663663
R45,,0.7,0.2,1,,-0.24870442647414975,0.028980157727470538,0.2220779537259431,0.42035474525029076,0.05586490733029231,0.4705435697132025,-0.00022636738502091375,0.0002533913511416945
R46,,0.7,0.2,1,,-0.12895537626763773,0.014265280913960121,0.09829562484278252,0.5085740382197543,0.017974756109058163,0.22694484590151748,-5.684018116954144e-05,1.687055945478145e-05
R47,,0.7,0.2,1,,-0.12431079115387872,0.015196884673044378,0.12374231121261599,0.4872149447755144,0.028838222163746333,0.24773798220271934,-2.2555327341357298e-05,2.1133622369707337e-05
R48,,0.7,0.2,3,,-0.1262920145482476,0.011398248962191264,0.10754392482934945,0.42275722709422753,0.024730151673762975,0.23371278036096393,-2.748778548592773e-05,1.548007770539497e-05
R49,,0.7,0.2,3,,-0.12546034947274073,0.011326486871525238,0.11763515455275333,0.4429668445021443,0.027167680517298374,0.24291512823711528,-1.6850723271981992e-05,1.827686797145418e-05
R50,,0.7,0.2,3,,-0.2563229846077954,0.02365461417408364,0.21155105558772475,0.3683774108753343,0.05462524325552252,0.46777645175598126,-0.0002034506751623795,0.00022192899072055443
R51,,0.7,0.2,3,,-0.2350076989519878,0.023665155878303045,0.2120212166055156,0.3948043542763114,0.05457662064494055,0.4468726194691186,-0.00013145405522726493,0.0001940162588431238
R52,,0.7,0.2,3,,-0.12755897843445432,0.013935519007834978,0.10950167108285302,0.4367305797812298,0.025688306428958717,0.2369115757693185,-3.4973957891965724e-05,1.6921252376439838e-05
