Rep,ADANIENT.NS,ADANIPORTS.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TATASTEEL.NS,TCS.NS
R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2507206385941755,0.1953706098005953,0.10399888947653456,0.0,0.0,0.0,0.2229539296462655,0.0,0.0,0.22695593248242898
R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19106202081522455,0.1443428881176725,0.13876327517846798,0.0,0.0,0.0,0.2310240597036365,0.0,0.0,0.29480775618499844
R3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19581476927938818,0.15263583196212688,0.14299179522898714,0.0,0.0,0.0,0.2181588831687851,0.0,0.0,0.2903987203607127
R4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1952426541986518,0.1666429461532138,0.13248685172478916,0.0,0.0,0.0,0.24051809195404344,0.0,0.0,0.2651094559693017
R5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22859248455865283,0.18070523456299298,0.1661407431264106,0.0,0.0,0.0,0.2260521345833677,0.0,0.0,0.19850940316857588
R6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14918596915962967,0.21360163863069007,0.12005445638206438,0.0,0.0,0.0,0.2335175952261313,0.0,0.0,0.2836403406014845
R7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23841487533812383,0.1911434378559334,0.11332137262222569,0.0,0.0,0.0,0.20771155713121908,0.0,0.0,0.249408757052498
R8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2324479624628138,0.1286006455800739,0.12868674591261753,0.0,0.0,0.0,0.21257957968985935,0.0,0.0,0.2976850663546354
R9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16034008671330433,0.18357820836617467,0.16419883390359105,0.0,0.0,0.0,0.252018959693663,0.0,0.0,0.23986391132326693
R10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428963050462283,0.191126047287786,0.15492238751236365,0.0,0.0,0.0,0.27406695096099176,0.0,0.0,0.23698830919263025
